Unnamed: 0,SQ,Ano,densidade_hec,ConcentracaoBOs,EstagioClusterizacao,Startups,UsoeOcupacao,EconomiaUrbana,Inovacao,MobilidadeUrbana,Usolocal,DinamicaOcupacao,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
66,001071,2025,2.41396934787571,9420.0,1,-4983.997757915737,-6.701776838322807,-1739.834844519238,-1649.1554244672934,-118854.14264822948,-19.00843826009388,-61.47314550213612,001071,2025,1,1,0.00087683514,0.99772865,2.3164037e-06,0.0013921452
67,001072,2025,2.41396934787571,86112.0,1,-5047.481964181063,179.167947895433,-1739.834844519238,-1629.940220059253,-118854.14264822948,166.9884400184581,-61.52001578136024,001072,2025,1,1,0.0006247699,0.99122286,4.4574408e-05,0.008107696
68,001073,2025,2.41396934787571,51510.0,3,-5109.981728056185,83.18236802370544,-1739.834844519238,-1622.4572608436376,-118854.14264822948,71.05073323231622,-61.70579043849459,001073,2025,3,1,0.00041109958,0.8855029,0.00077083893,0.11331512
69,001074,2025,25.4552573619626,33915.0,3,-5194.378284352356,68.6306691189458,-1739.834844519238,-1639.546305382087,-118854.55299542686,56.03948860810555,-61.73362219468471,001074,2025,3,3,0.000235712,0.1803245,0.00056549517,0.8188743
70,001075,2025,25.4552573619626,1167534.0,3,-5306.70559035076,2555.6053424156435,-1739.834844519238,-1556.640573684788,-117649.94286088189,2542.9018231769683,-60.181488318798365,001075,2025,3,3,0.00047948546,0.0012836476,0.00056974887,0.9976672
71,001076,2025,25.4552573619626,112686.0,3,-5151.375822300426,-36.71032829035965,-1739.834844519238,-1412.705446270107,-117527.0234593977,-49.30723144886403,-61.6957995516571,001076,2025,3,3,0.0014841957,0.18860231,0.34696725,0.46294618
72,001077,2025,25.4552573619626,78408.0,1,-5089.75992595901,62.698303662038334,-1739.834844519238,-1339.980681761759,-117527.0234593977,49.98712888316842,-61.49663281272427,001077,2025,1,2,0.00052597397,0.040122055,0.94958216,0.00976981
73,001078,2025,2.41396934787571,1323.0,1,-4929.868892224236,-30.674399246063853,-1739.834844519238,-1593.6546197423452,-118854.14264822948,-42.912197308640685,-61.38750932924344,001078,2025,1,1,0.0007966505,0.99866533,2.2771845e-05,0.0005152421
74,001079,2025,2.41396934787571,1875.0,1,-4886.367054777903,-33.75421242880091,-1739.834844519238,-1634.1206832206517,-118854.14264822948,-45.91581123467634,-61.667967795466986,001079,2025,1,1,0.0012851708,0.998553,9.968002e-07,0.00016076704
75,001080,2025,2.41396934787571,86196.0,1,-4965.23934391198,821.1598932365865,-1739.834844519238,-1623.4733665115768,-118854.14264822948,809.0027378488238,-61.54776122581139,001080,2025,1,1,0.0007652659,0.99832624,7.1918694e-06,0.0009013038
76,001081,2025,2.41396934787571,55242.0,1,-5007.158809122369,887.133524409396,-1739.834844519238,-1637.3479955746077,-118854.14264822948,875.007698234514,-61.63014515243938,001081,2025,1,1,0.0007420082,0.9966785,9.543511e-06,0.0025700643
77,001082,2025,2.41396934787571,23796.0,1,-5083.325218196865,143.18042235360605,-1739.834844519238,-1639.361670594189,-118854.14264822948,131.0685089432223,-61.72862675126597,001082,2025,1,1,0.00059803337,0.97236574,8.627336e-05,0.026949905
78,001083,2025,25.4552573619626,86940.0,3,-5122.103092343564,653.6942841231164,-1739.834844519238,-1635.5854343662863,-118854.55299542686,641.0906124224706,-61.588754335541246,001083,2025,3,1,0.0004256642,0.8450861,0.00051521335,0.153973
79,001084,2025,2.41396934787571,83400.0,1,-5000.136153981047,563.159010125886,-1739.834844519238,-1622.9467429792885,-118854.14264822948,551.038470135075,-61.68794956914194,001084,2025,1,1,0.0006442992,0.996949,1.673041e-05,0.0023899556
80,001085,2025,2.41396934787571,5028.0,1,-5022.281857072452,-12.814328285952566,-1739.834844519238,-1581.4932507195415,-118854.14264822948,-24.92744637907029,-61.73576309900702,001085,2025,1,1,0.00037361766,0.9943731,0.00027238714,0.0049808845
81,001086,2025,2.41396934787571,50652.0,1,-5095.283171823895,131.17217273359606,-1739.834844519238,-1590.5802791416866,-118854.14264822948,119.05021931122177,-61.667967795466986,001086,2025,1,1,0.00029112634,0.9110671,0.002480755,0.086160935
82,001087,2025,22.5980845340693,54000.0,2,-5015.966977496274,634.8043791091395,1180.1156839100595,-1199.74503350403,-96947.89025410512,622.4966940886839,-59.73794628709593,001087,2025,2,2,3.7953367e-05,0.005865755,0.99408865,7.6781425e-06
83,002001,2025,37.3477134984815,1760492160.0,3,-5180.231323010888,34522.1409501196,-1016.036492065135,-1499.8761264615146,-101976.716750241,34510.18657741456,-53.46687424481156,002001,2025,3,3,0.0002429023,0.09173323,0.011645981,0.89637786
84,002002,2025,122.58531187923874,1222208.0,0,-4452.078949569187,-40.68886351453881,77.60642011840218,-1015.6955036960336,-97176.99309416076,-49.63918818004735,-61.71497527857881,002002,2025,0,1,0.05964514,0.9403362,1.8641156e-05,1.1592175e-11
85,002003,2025,70.038217661473,16456.0,0,-4133.727954297499,-41.66013363765523,-1024.902843673255,-941.9914464034856,-126079.0442474052,-49.81951603576992,-58.7233912633287,002003,2025,0,0,0.9587855,0.04121448,5.874008e-09,6.814218e-12
86,002004,2025,70.038217661473,255710.0,0,-3991.3489983441305,-42.33109444432967,-1024.902843673255,-832.3818914802989,-126079.0442474052,-50.54345521594568,-48.47783465232463,002004,2025,0,0,0.99186045,0.0081395935,2.1909535e-10,2.9904516e-12
87,002007,2025,21.7239602146145,10602.0,0,-4087.9421308489696,-41.51122996217836,-1024.902843673255,-828.5779619299533,-126079.41751723149,-50.02894727813601,-60.72579335405284,002007,2025,0,0,0.9632691,0.036730897,2.6635987e-09,5.216637e-12
